Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.6208516593362656,0.6100329321560585,0.006099109621594068
5,2.6265120463860843,0.6260569593375195,0.006259630719177602
10,2.627086456771614,0.5929503874191495,0.005928022053882416
15,2.631184407796102,0.784728709111187,0.007845326004715856
20,2.6476057182845145,0.601142748366906,0.006010525972381479
25,2.659572342126299,0.7357195595783435,0.007354254482095736
30,2.6694983010193885,0.6036426571015564,0.0060346164575546014
35,2.703666699970027,0.772897089069332,0.007725495199708046
40,2.7023190723710515,0.6486773518702253,0.0064854765530752345
45,2.75689448441247,1.3466631452431406,0.013461248029688826
50,2.787548715898871,0.7104080385899314,0.007101595262378018
55,2.8301679328268694,0.6863360029487798,0.006861987769146284
60,2.884361893349311,0.6764381060629137,0.006759650959913416
