Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.837116288371163,0.7163204114657589,0.007162845981311633
5,1.8262259063217816,0.525931291006983,0.005255897686161097
10,1.8329334133173365,0.568083294631517,0.005680264948218832
15,1.8433939636218268,0.5345917704967884,0.005344314650994624
20,1.8607556977209116,0.5721645914984752,0.005720501928986117
25,1.878684920555611,0.5376523043335746,0.005374642247630745
30,1.8808476609356257,0.5397041124282247,0.0053959620397719555
35,1.9135259422173347,0.6486091163914058,0.006485118469090337
40,1.9403357985208876,0.755774655551317,0.007555480251332421
45,1.9454945494549456,0.5864843129447092,0.005865136393598558
50,1.9973010795681727,0.6999262491242547,0.0069978630585601125
55,2.0305030503050303,1.084475571736066,0.010845297995817751
60,2.077992200779922,0.9961010925606424,0.009960512912410822
