Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.832016798320168,0.5815023711190058,0.005814732981809021
5,1.840107859782283,0.5685780536102161,0.005682088378217901
10,1.9130173965206958,0.5041643354719454,0.00504113926599603
15,2.0398760743553868,0.4828758051583199,0.004827310075724291
20,2.202219112355058,0.49466473119887416,0.004945658279226285
25,2.4094134106125713,0.5638623654182232,0.0056366511713963445
30,2.671331467413035,0.57376136646096,0.005736466486018786
35,3.0236928921323605,0.6058286638526426,0.006057378099946717
40,3.412152708374975,0.7596591168950925,0.007594313216627547
45,3.8085808580858087,0.6488485776244656,0.006488810224867318
50,4.293082766893242,1.3499404420447885,0.013496705349258167
55,4.912591259125913,1.049033137274469,0.010490855928655347
60,5.730326967303269,1.3463981225073298,0.013463308076497767
