Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.0150839033775119,0.13370053101614154,0.0004887007798744232
5,1.0280694828266876,0.8249396552689479,0.0029925675242769203
10,1.0414789440369363,0.7153945211108305,0.0025203231745431253
15,1.0183146440522108,0.26251253393636637,0.0009381552422423117
20,1.0208738044271768,0.38670582311601664,0.0013602664154738352
25,1.0421812349639135,0.8344367371257848,0.0028243022333560505
30,1.0280902020032454,0.663048996891479,0.0022181258993795314
35,1.0325843768887382,1.091994080864123,0.0035558523085481198
40,1.0171366067087992,0.3854188519444987,0.0012265780508791404
45,1.0103503795139155,0.10860849913759425,0.000336225053668428
50,1.0264634115664226,0.6039367621843102,0.0017488231137671644
55,1.0151717123461832,0.4572570080897721,0.0012692723290529363
60,1.0127213282385232,0.4647216390712693,0.0012053505213503307
