Angle,Average Cluster Size,Standard Deviation,Error on Average
0,1.2,0.4000000000000002,0.17888543819998326
5,1.0,0.0,0.0
10,1.3333333333333333,0.74535599249993,0.30429030972509236
15,1.0,0.0,0.0
20,1.0,0.0,0.0
25,1.0,0.0,0.0
30,1.3548387096774193,0.6978486339607725,0.1253373146714968
35,1.25,0.6614378277661477,0.23385358667337133
40,1.1,0.29999999999999977,0.0948683298050513
45,1.0,0.0,0.0
50,1.0,0.0,0.0
55,1.15,0.4769696007084731,0.07541551564499183
60,1.0666666666666667,0.24944382578492935,0.06440611887195304
