Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0,2.0701966780270626,0.7824607964359517
5,2.25,1.6393596310755,0.81967981553775
10,1.25,0.4330127018922193,0.15309310892394862
15,1.25,0.4330127018922193,0.15309310892394862
20,1.1,0.29999999999999977,0.0948683298050513
25,1.0,0.0,0.0
30,1.0,0.0,0.0
35,1.0,0.0,0.0
40,1.1,0.29999999999999977,0.06708203932499364
45,1.1428571428571428,0.34992710611188277,0.1322600142532217
50,1.0,0.0,0.0
55,1.5,1.0246950765959597,0.324037034920393
60,1.36,1.053755189785559,0.2107510379571118
