Angle,Average Cluster Size,Standard Deviation,Error on Average
0,2.0202979702029795,0.44347298043560923,0.004434508084494726
5,2.0254,0.769256030200609,0.00769256030200609
10,2.0151,0.19917828696923878,0.0019917828696923877
15,2.0222,0.26059002283279953,0.0026059002283279954
20,2.0194,0.25695065674171774,0.0025695065674171775
25,2.0261,0.6893611462796554,0.006893611462796554
30,2.0437,0.7457816771683257,0.007457816771683256
35,2.1784,0.4711405735022194,0.004711405735022194
40,3.7071,0.7017902749397423,0.007017902749397423
45,4.0185,0.4880140879114036,0.004880140879114037
50,4.0378,1.006663379685584,0.01006663379685584
55,4.1026,0.5080090944067849,0.005080090944067849
60,6.0016,0.3857427121800264,0.0038574271218002644
