Angle,Average Cluster Size,Standard Deviation
0,1.6078607860786078,0.8883811886431723
5,1.6026808042412723,0.668220600607282
10,1.60996099609961,0.69190509590913
15,1.623111555777889,0.9666402224826935
20,1.6012803841152345,0.8005389558880321
25,1.5876763028908674,0.654651619317036
30,1.6202379762023797,0.839818941067827
35,1.602939706029397,0.7203995139631216
40,1.5887,0.7157739238055548
45,1.602140856342537,0.7312217807782402
50,1.6142842852855857,1.3114816108549923
55,1.615838416158384,1.7300016846538506
60,1.6163616361636164,0.7164409622555113
