Angle,Average Cluster Size,Standard Deviation,Depletion Depth
0,1.87682463507299,0.802306709326194,#DIV/0!
5,1.8645,0.557799022946437,0.132706618910936
10,1.87363790862741,0.62841814012873,0.513016610428667
15,1.8812,0.778772469980803,-0.321568046751366
20,1.88382323535293,0.8109061266255,0.0426816707546805
25,1.88846653996199,1.02458721097407,-1.26578922881148
30,1.87882423515297,0.671731533166346,0.0547949644246451
35,1.8665599679904,0.616208579649789,-0.942181206035864
40,1.87381261873813,0.713459354174956,-0.236298746024655
45,1.86585975792738,0.619860517904277,-0.178718710597134
50,1.88756745952429,1.08367279709227,-2.90606311005403
55,1.86204138758373,0.50585071513516,0.0205640885031243
60,1.86387277455491,0.604521442011525,0.208293977770769
