Angle,Average Cluster Size,Standard Deviation
0,5.577226831950415,0.8117336716963893
5,5.582741725827417,0.8788065157351612
10,5.558,0.6005297661232119
15,5.572342765723428,0.7745521336870284
20,5.5616,0.695417457359243
25,5.573672101630489,1.2664834163099234
30,5.584775432629789,0.943507999058783
35,5.5781265620313905,1.206206006160829
40,5.560612122424485,0.571438722719983
45,5.593218643728746,1.6556600691136367
50,5.5854341736694675,1.1945604678931965
55,5.594621613515945,1.321058479261624
60,5.5696,0.7029621895948585
