Angle,Average Cluster Size,Standard Deviation
0,1.7513740381732787,0.6232735609227219
5,1.7764117941029485,2.8145909751085054
10,1.753250650130026,0.5154416275402656
15,1.7578694913560509,0.5253937102497821
20,1.76111944027986,0.5635146598279109
25,1.7735320596178854,0.5124514027979215
30,1.7831566313262652,0.5227265119283591
35,1.7994200579942006,0.6755131618484227
40,1.8198459537861358,1.2875370215071131
45,1.811,0.6768153367056631
50,1.8348660535785686,0.612184583328879
55,1.8407522256677002,0.5197391585826369
60,1.8625,0.5520812893043918
