Angle,Average Cluster Size,Standard Deviation
0,1.5036992601479704,0.6142970295950799
5,1.551989602079584,0.5977249247561347
10,1.7127574485102979,0.6155480769769286
15,1.8786121387861214,0.5533831316182297
20,2.0333899830050983,0.5200035129415846
25,2.2171565686862627,0.5274257840585782
30,2.470947094709471,0.5956227747075187
35,2.8235176482351765,0.5408526719470218
40,3.2316,0.5545822211358751
45,3.6564656465646563,0.6408876838396026
50,4.14,1.309045453756287
55,4.7746,2.521665092751215
60,5.589,1.2133750450705654
